,event,number_of_frames
0,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__14,190
1,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006021720968__20121006021721781@DVR-1_Ch2__13,231
2,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__7,473
3,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__16,243
4,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004044300656__20121004044301594@DVR-1_Ch2__18,90
5,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005214021969__20121005214022797@DVR-1_Ch2__12,58
6,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__29,87
7,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__29,140
8,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005192510969__20121005192511782@DVR-1_Ch2__26,382
9,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005133258672__20121005133259344@DVR-1_Ch2__2,214
10,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005221023672__20121005221024500@DVR-1_Ch2__13,316
11,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005074100968__20121005074103078@DVR-1_Ch2__18,764
12,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005050656594__20121005050657391@DVR-1_Ch2__10,273
13,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005153302672__20121005153304391@DVR-1_Ch2__7,181
14,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__20,243
15,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__32,800
16,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005185509797__20121005185510610@DVR-1_Ch2__21,517
17,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__4,490
18,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006051024047__20121006051024188@DVR-1_Ch2__9,191
19,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__18,79
20,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005192510969__20121005192511782@DVR-1_Ch2__2,468
21,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005074100968__20121005074103078@DVR-1_Ch2__10,203
22,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005232010047__20121005232010860@DVR-1_Ch2__8,474
23,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__33,153
24,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__28,154
25,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__8,736
26,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__16,348
27,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006051024047__20121006051024188@DVR-1_Ch2__11,401
28,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__32,317
29,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004064304703__20121004064306687@DVR-1_Ch2__0,35
30,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__19,230
31,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005143300859__20121005143302578@DVR-1_Ch2__17,213
32,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__2,292
33,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__15,149
34,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005074100968__20121005074103078@DVR-1_Ch2__16,618
35,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006083222672__20121006083223641@DVR-1_Ch2__17,312
36,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005185509797__20121005185510610@DVR-1_Ch2__14,647
37,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__31,310
38,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__31,85
39,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__18,121
40,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__15,104
41,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005192510969__20121005192511782@DVR-1_Ch2__9,113
42,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005143300859__20121005143302578@DVR-1_Ch2__8,486
43,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005185509797__20121005185510610@DVR-1_Ch2__23,800
44,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__9,168
45,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__32,265
46,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005140259828__20121005140301531@DVR-1_Ch2__14,98
47,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__40,247
48,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005074100968__20121005074103078@DVR-1_Ch2__8,100
49,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006061027000__20121006061027515@DVR-1_Ch2__17,175
50,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__39,139
51,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006061027000__20121006061027515@DVR-1_Ch2__9,122
52,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005091104735__20121005091106344@DVR-1_Ch2__1,800
53,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006061027000__20121006061027515@DVR-1_Ch2__14,404
54,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121004194914766__20121004194915532@DVR-1_Ch2__17,217
55,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004092958047__20121004092958781@DVR-1_Ch2__6,605
56,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__12,800
57,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__4,106
58,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__21,800
59,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__16,157
60,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005201018343__20121005201018968@DVR-1_Ch2__25,592
61,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__14,243
62,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121004191913390__20121004191913781@DVR-1_Ch2__19,216
63,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__28,413
64,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__8,121
65,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__36,454
66,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005192510969__20121005192511782@DVR-1_Ch2__1,309
67,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005081101500__20121005081103110@DVR-1_Ch2__19,446
